round,modality,class_id,acc,support
700,fusion,4,0.6129032258064516,31
700,fusion,5,0.5333333333333333,30
700,fusion,6,0.8709677419354839,31
700,fusion,7,0.8125,32
700,fusion,8,0.6451612903225806,31
700,fusion,9,0.41379310344827586,29
700,fusion,10,0.6785714285714286,28
700,fusion,11,0.48484848484848486,33
700,fusion,12,0.9375,16
700,fusion,13,0.0,10
700,fusion,14,0.5416666666666666,24
700,fusion,15,0.6896551724137931,29
700,fusion,16,0.7037037037037037,27
700,fusion,17,0.8461538461538461,39
700,fusion,18,0.29411764705882354,17
700,fusion,19,0.3,10
700,fusion,20,0.0,10
700,fusion,21,0.5,32
700,fusion,22,0.0,10
700,fusion,23,0.6428571428571429,14
700,fusion,24,0.78125,32
700,fusion,25,0.6111111111111112,18
700,fusion,26,0.9230769230769231,26
700,fusion,27,0.7307692307692307,26

700,agent_0,0,1.0,25
700,agent_0,1,1.0,29
700,agent_0,2,1.0,32
700,agent_0,3,0.9666666666666667,30
700,agent_0,4,1.0,31
700,agent_0,5,0.9666666666666667,30
700,agent_0,6,1.0,31
700,agent_0,7,1.0,32
700,agent_0,8,1.0,31
700,agent_0,9,0.9310344827586207,29
700,agent_0,10,1.0,28
700,agent_0,11,1.0,33
700,agent_0,12,1.0,16
700,agent_0,13,1.0,10
700,agent_0,14,1.0,24
700,agent_0,15,1.0,29
700,agent_0,16,1.0,27
700,agent_0,17,0.9743589743589743,39
700,agent_0,18,1.0,17
700,agent_0,19,1.0,10
700,agent_0,20,1.0,10
700,agent_0,21,1.0,32
700,agent_0,22,1.0,10
700,agent_0,23,1.0,14
700,agent_0,24,1.0,32
700,agent_0,25,1.0,18
700,agent_0,26,0.9615384615384616,26
700,agent_0,27,1.0,26

700,agent_1,0,0.92,25
700,agent_1,1,0.9310344827586207,29
700,agent_1,2,0.84375,32
700,agent_1,3,0.43333333333333335,30
700,agent_1,4,0.8064516129032258,31
700,agent_1,5,0.9333333333333333,30
700,agent_1,6,0.6774193548387096,31
700,agent_1,7,0.9375,32
700,agent_1,8,0.9032258064516129,31
700,agent_1,9,0.7931034482758621,29
700,agent_1,10,0.9285714285714286,28
700,agent_1,11,0.45454545454545453,33
700,agent_1,12,0.9375,16
700,agent_1,13,0.8,10
700,agent_1,14,0.9166666666666666,24
700,agent_1,15,1.0,29
700,agent_1,16,0.9259259259259259,27
700,agent_1,17,0.8205128205128205,39
700,agent_1,18,0.7647058823529411,17
700,agent_1,19,1.0,10
700,agent_1,20,0.6,10
700,agent_1,21,0.96875,32
700,agent_1,22,0.6,10
700,agent_1,23,0.9285714285714286,14
700,agent_1,24,0.90625,32
700,agent_1,25,0.7777777777777778,18
700,agent_1,26,0.9230769230769231,26
700,agent_1,27,0.7692307692307693,26

800,fusion,0,0.6896551724137931,29
800,fusion,1,0.6363636363636364,33
800,fusion,2,0.7272727272727273,33
800,fusion,3,0.7428571428571429,35
800,fusion,4,0.6578947368421053,38
800,fusion,5,0.5757575757575758,33
800,fusion,6,0.8571428571428571,35
800,fusion,7,0.8421052631578947,38
800,fusion,8,0.6944444444444444,36
800,fusion,9,0.5405405405405406,37
800,fusion,10,0.7272727272727273,33
800,fusion,11,0.5,34
800,fusion,12,0.9473684210526315,19
800,fusion,13,0.0,11
800,fusion,14,0.6451612903225806,31
800,fusion,15,0.7272727272727273,33
800,fusion,16,0.7333333333333333,30
800,fusion,17,0.85,40
800,fusion,18,0.38095238095238093,21
800,fusion,19,0.36363636363636365,11
800,fusion,20,0.0,11
800,fusion,21,0.5675675675675675,37
800,fusion,22,0.0,12
800,fusion,23,0.6666666666666666,15
800,fusion,24,0.8108108108108109,37
800,fusion,25,0.6818181818181818,22
800,fusion,26,0.9259259259259259,27
800,fusion,27,0.7333333333333333,30

800,agent_0,0,1.0,29
800,agent_0,1,1.0,33
800,agent_0,2,1.0,33
800,agent_0,3,0.9714285714285714,35
800,agent_0,4,1.0,38
800,agent_0,5,0.9696969696969697,33
800,agent_0,6,1.0,35
800,agent_0,7,1.0,38
800,agent_0,8,1.0,36
800,agent_0,9,0.9459459459459459,37
800,agent_0,10,1.0,33
800,agent_0,11,1.0,34
800,agent_0,12,1.0,19
800,agent_0,13,1.0,11
800,agent_0,14,1.0,31
800,agent_0,15,1.0,33
800,agent_0,16,1.0,30
800,agent_0,17,0.975,40
800,agent_0,18,0.9523809523809523,21
800,agent_0,19,1.0,11
800,agent_0,20,1.0,11
800,agent_0,21,1.0,37
800,agent_0,22,1.0,12
800,agent_0,23,1.0,15
800,agent_0,24,1.0,37
800,agent_0,25,1.0,22
800,agent_0,26,0.9629629629629629,27
800,agent_0,27,1.0,30

800,agent_1,0,0.9310344827586207,29
800,agent_1,1,0.9393939393939394,33
800,agent_1,2,0.8484848484848485,33
800,agent_1,3,0.42857142857142855,35
800,agent_1,4,0.7894736842105263,38
800,agent_1,5,0.9393939393939394,33
800,agent_1,6,0.6857142857142857,35
800,agent_1,7,0.9473684210526315,38
800,agent_1,8,0.9166666666666666,36
800,agent_1,9,0.8108108108108109,37
800,agent_1,10,0.9393939393939394,33
800,agent_1,11,0.47058823529411764,34
800,agent_1,12,0.9473684210526315,19
800,agent_1,13,0.8181818181818182,11
800,agent_1,14,0.9032258064516129,31
800,agent_1,15,1.0,33
800,agent_1,16,0.9333333333333333,30
800,agent_1,17,0.825,40
800,agent_1,18,0.7619047619047619,21
800,agent_1,19,1.0,11
800,agent_1,20,0.5454545454545454,11
800,agent_1,21,0.9459459459459459,37
800,agent_1,22,0.6666666666666666,12
800,agent_1,23,0.9333333333333333,15
800,agent_1,24,0.8918918918918919,37
800,agent_1,25,0.7727272727272727,22
800,agent_1,26,0.9259259259259259,27
800,agent_1,27,0.7666666666666667,30

900,fusion,0,0.7,30
900,fusion,1,0.7,40
900,fusion,2,0.75,36
900,fusion,3,0.7804878048780488,41
900,fusion,4,0.675,40
900,fusion,5,0.6410256410256411,39
900,fusion,6,0.8717948717948718,39
900,fusion,7,0.8666666666666667,45
900,fusion,8,0.725,40
900,fusion,9,0.5526315789473685,38
900,fusion,10,0.7857142857142857,42
900,fusion,11,0.5405405405405406,37
900,fusion,12,0.9090909090909091,22
900,fusion,13,0.14285714285714285,14
900,fusion,14,0.7027027027027027,37
900,fusion,15,0.75,36
900,fusion,16,0.7894736842105263,38
900,fusion,17,0.8636363636363636,44
900,fusion,18,0.43478260869565216,23
900,fusion,19,0.5333333333333333,15
900,fusion,20,0.0,11
900,fusion,21,0.5789473684210527,38
900,fusion,22,0.0,13
900,fusion,23,0.6666666666666666,15
900,fusion,24,0.8157894736842105,38
900,fusion,25,0.72,25
900,fusion,26,0.9354838709677419,31
900,fusion,27,0.7647058823529411,34

900,agent_0,0,1.0,30
900,agent_0,1,1.0,40
900,agent_0,2,1.0,36
900,agent_0,3,0.975609756097561,41
900,agent_0,4,1.0,40
900,agent_0,5,0.9487179487179487,39
900,agent_0,6,1.0,39
900,agent_0,7,1.0,45
900,agent_0,8,1.0,40
900,agent_0,9,0.9473684210526315,38
900,agent_0,10,1.0,42
900,agent_0,11,1.0,37
900,agent_0,12,1.0,22
900,agent_0,13,1.0,14
900,agent_0,14,1.0,37
900,agent_0,15,1.0,36
900,agent_0,16,1.0,38
900,agent_0,17,0.9772727272727273,44
900,agent_0,18,0.9565217391304348,23
900,agent_0,19,1.0,15
900,agent_0,20,1.0,11
900,agent_0,21,1.0,38
900,agent_0,22,1.0,13
900,agent_0,23,1.0,15
900,agent_0,24,1.0,38
900,agent_0,25,1.0,25
900,agent_0,26,0.967741935483871,31
900,agent_0,27,1.0,34

